,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
220,Jamaal Lascelles,Newcastle,0.0,0.0,4,3,0.0,0.0,0.0,0.0
221,Fabian Schar,Newcastle,0.0,0.0,4,1,0.0,0.0,0.0,0.0
222,Florian Lejeune,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
223,Rui Pedro dos Santos Patricio,Wolves,0.0,0.0,4,4,0.0,0.0,0.0,0.0
224,Issa Diop,West Ham,0.0,0.0,4,2,0.0,0.0,0.0,0.0
225,Kelland Watts,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
226,Paul Dummett,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
227,Dwight Gayle,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
228,Christian Atsu,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
229,Martin Dubravka,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
230,DeAndre Yedlin,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
231,John Ruddy,Wolves,0.0,0.0,4,0,0.0,0.0,0.0,0.0
232,Rolando Aarons,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
233,Albian Ajeti,West Ham,0.0,0.0,4,0,0.0,0.0,0.0,0.0
234,Ben Johnson,West Ham,0.0,0.0,4,1,0.0,0.0,0.0,0.0
235,Yoshinori Muto,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
236,Paulo Gazzaniga,Spurs,0.0,0.0,4,0,0.0,0.0,0.0,0.0
237,Ryan Bennett,Wolves,0.0,0.0,4,0,0.0,0.0,0.0,0.0
238,Axel Tuanzebe,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
239,Aaron Wan-Bissaka,Man Utd,0.0,0.0,3,2,0.0,0.0,0.0,
240,Leonardo Campana,Wolves,0.0,0.0,4,0,0.0,0.0,0.0,0.0
241,Daniel James,Man Utd,0.0,0.0,3,1,0.0,0.0,0.0,
242,Eric Bailly,Man Utd,0.0,0.0,3,2,0.0,0.0,0.0,
243,Fernando Marcal,Wolves,0.0,0.0,4,2,0.0,0.0,0.0,0.0
244,Victor Lindelof,Man Utd,0.0,0.0,3,2,0.0,0.0,0.0,
245,Dean Henderson,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
246,Karl Darlow,Newcastle,0.0,0.0,4,4,0.0,0.0,0.0,0.0
247,Andreas Pereira,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
248,Anthony Martial,Man Utd,0.0,0.0,3,3,0.0,0.0,0.0,
249,Nelson Cabral Semedo,Wolves,0.0,0.0,4,2,0.0,0.0,,
250,Jesse Lingard,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
251,Frederico Rodrigues de Paula Santos,Man Utd,0.0,0.0,3,2,0.0,0.0,0.0,
252,Harry Maguire,Man Utd,0.0,0.0,3,3,0.0,0.0,0.0,
253,Bruno Andre Cavaco Jordao,Wolves,0.0,0.0,4,0,0.0,0.0,0.0,0.0
254,Morgan Gibbs-White,Wolves,0.0,0.0,4,0,0.0,0.0,0.0,0.0
255,Jose Diogo Dalot Teixeira,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
256,Matija Sarkic,Wolves,0.0,0.0,4,0,0.0,0.0,0.0,0.0
257,Ruben Goncalo Silva Nascimento Vinagre,Wolves,0.0,0.0,4,2,0.0,0.0,0.0,0.0
258,Tahith Chong,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
259,James Garner,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
260,Brandon Williams,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
261,Teden Mengi,Man Utd,0.0,0.0,3,0,0.0,0.0,0.0,
262,Donny van de Beek,Man Utd,0.0,0.0,3,3,0.0,0.0,0.0,
263,Oskar Buur,Wolves,0.0,0.0,4,1,0.0,0.0,0.0,0.0
264,Jordan Hugill,West Ham,0.0,0.0,4,0,0.0,0.0,0.0,0.0
265,Leo Bonatini,Wolves,0.0,0.0,4,0,0.0,0.0,0.0,0.0
266,Jonathan Castro Otto,Wolves,0.0,0.0,4,0,0.0,0.0,0.0,0.0
267,Romain Saiss,Wolves,0.0,0.0,4,4,0.0,0.0,0.0,0.0
268,Ciaran Clark,Newcastle,0.0,0.0,4,0,0.0,0.0,0.0,0.0
269,Willy Boly,Wolves,0.0,0.0,4,4,0.0,0.0,0.0,0.0
270,Sean Longstaff,Newcastle,0.0,0.0,4,2,0.0,0.0,0.0,0.0
271,Billy Sharp,Sheffield Utd,0.0,0.0,4,3,0.0,0.0,0.0,0.0
272,Fabian Balbuena,West Ham,0.0,0.0,4,2,0.0,0.0,0.0,0.0
273,Jack Stephens,Southampton,0.0,0.0,4,2,0.0,0.0,0.0,0.0
274,Jan Bednarek,Southampton,0.0,0.0,4,4,0.0,0.0,0.0,0.0
275,Cameron Carter-Vickers,Spurs,0.0,0.0,4,0,0.0,0.0,0.0,0.0
276,Gareth Bale,Spurs,0.0,0.0,4,0,0.0,0.0,,
277,Josh Sims,Southampton,0.0,0.0,4,0,0.0,0.0,0.0,0.0
278,Sofiane Boufal,Southampton,0.0,0.0,4,0,0.0,0.0,0.0,0.0
279,Angus Gunn,Southampton,0.0,0.0,4,0,0.0,0.0,0.0,0.0
280,David Button,West Brom,0.0,0.0,4,0,0.0,0.0,0.0,0.0
281,Kamil Grosicki,West Brom,0.0,0.0,4,0,0.0,0.0,0.0,0.0
282,Felipe Anderson Pereira Gomes,West Ham,0.0,0.0,4,2,0.0,0.0,0.0,0.0
283,Matt Phillips,West Brom,0.0,0.0,4,2,0.0,0.0,0.0,0.0
284,Nathan Redmond,Southampton,0.0,0.0,4,2,0.0,0.0,0.0,0.0
285,Alex McCarthy,Southampton,0.0,0.0,4,4,0.0,0.0,0.0,0.0
286,Kyle Bartley,West Brom,0.0,0.0,4,4,0.0,0.0,0.0,0.0
287,Shane Long,Southampton,0.0,0.0,4,3,0.0,0.0,0.0,0.0
