,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
195,Aaron Hickey,Brentford,Defender,2.4699851560095945,2.4699851560095945,6,6,,3.038794961129615,3.928104415535927,7.729590684175491,1.9839800894260409,0.0,0.0,1.1782357469201088
196,Mike Tresor,Burnley,Midfielder,2.4318937212228775,2.4318937212228775,2,2,3.671193945314326,1.5570132202584308,0.0,4.863787442445755,,,,
197,Billy Gilmour,Brighton,Midfielder,2.4085136363282795,2.4085136363282795,6,6,,1.7572594690484171,0.6862853188067675,0.0,1.4226137660443785,9.614603221416472,0.0,2.7275795117020607
198,Facundo Pellistri Rebollo,Man Utd,Midfielder,2.384564777215322,4.769129554430644,6,3,,2.6635564243736454,0.0,0.0,0.0,0.0,0.0,14.307388663291931
199,Timothy Castagne,Fulham,Defender,2.3804739117622375,2.3804739117622375,3,3,,2.071177338275827,4.622950032353401,2.5184717029333115,0.0,,,
200,Philippe Coutinho Correia,Aston Villa,Midfielder,2.3709525664647417,7.112857699394225,6,2,,12.337295285982092,0.0,0.0,0.0,0.0,3.512578457593918,10.713136941194533
201,Diego Carlos Santos Silva,Aston Villa,Defender,2.3708237955967584,3.556235693395138,6,4,,4.434514771690845,0.0,0.0,0.0,11.140260845422745,0.0,3.0846819281578064
202,Ibrahim Sangare,Nott'm Forest,Midfielder,2.3421967402100567,2.3421967402100567,2,2,,1.896535542361794,0.0,4.6843934804201135,,,,
203,Hamed Traore,Bournemouth,Midfielder,2.290525985881686,4.581051971763372,6,3,,4.274315773011149,1.2708445079624653,0.0,0.0,0.0,12.472311407327652,0.0
204,Orel Mangala,Nott'm Forest,Midfielder,2.223704537997643,2.668445445597172,6,5,,3.3816591073991975,4.777290672063828,6.818061321973801,1.7468752339482307,0.0,0.0,0.0
205,Jacob Ramsey,Aston Villa,Midfielder,2.222421516974767,13.334529101848602,6,1,,22.71087939058734,13.334529101848602,0.0,0.0,0.0,0.0,0.0
206,Ezri Konsa Ngoyo,Aston Villa,Defender,2.2127856810887656,2.2127856810887656,6,6,,3.768735163918066,13.276714086532593,0.0,0.0,0.0,0.0,0.0
207,Jefferson Lerma Solis,Crystal Palace,Midfielder,2.1761170277992883,3.2641755416989326,6,4,,3.319167758857687,0.0,0.0,4.0710870176553735,7.700113207101822,0.0,1.2855019420385358
208,James Garner,Everton,Midfielder,2.169921559592088,2.169921559592088,6,6,,2.5572599089920005,4.455719888210297,0.0,0.0,5.792746692895888,2.7710627764463425,0.0
209,Ivan Perisic,Spurs,Defender,2.1670766174793243,2.600491940975189,6,5,,1.3104882658990058,0.0,3.929363936185837,0.0,9.07309576869011,0.0,0.0
210,Anthony Martial,Man Utd,Forward,2.1351575230558715,3.202736284583807,6,4,,3.4802036210212886,0.0,0.0,6.190140172839165,6.620804965496062,0.0,0.0
211,Issa Diop,Fulham,Defender,2.130668610334396,2.130668610334396,6,6,,1.8396083445472184,0.0,0.0,0.0,0.0,12.784011662006376,0.0
