,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
138,Danny Ings,Southampton,4,7.913157894736842,10.36896551724138,38,29,2.7,3.4,13.0,,3.0,0.0,0.0,,,11.6,6.9,22.4,,0.0,0.0,0.3,,2.6,11.6,1.8,,21.2,12.3,0.5,26.0,16.8,,0.0,,20.9,1.5,0.0,0.8,1.6,24.8,10.3,0.0,0.0,0.0,11.0,29.8,0.9,23.5,4.6,3.7,11.2
139,Oleksandr Zinchenko,Man City,2,7.781578947368423,14.785000000000005,38,20,5.8,1.0,0.0,,,0.9,11.6,,,13.1,77.4,0.0,,0.0,25.8,28.3,0.0,29.0,,25.9,0.0,8.8,2.4,2.9,14.7,24.7,3.9,6.8,7.8,3.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,
140,Yves Bissouma,Brighton,3,7.776315789473684,8.208333333333334,38,36,2.4,14.0,14.1,,,0.9,0.6,25.8,,13.2,24.8,1.6,8.8,3.5,,0.8,,13.3,,4.1,,5.5,12.7,1.9,1.8,13.8,,1.0,0.0,1.2,19.0,16.8,17.2,17.2,11.9,2.8,2.1,2.3,3.8,2.7,3.3,14.6,8.3,0.0,3.9,3.8
141,Enda Stevens,Sheffield Utd,2,7.750000000000002,9.816666666666668,38,30,20.1,15.6,13.8,,,18.9,11.5,1.6,,8.2,22.3,1.6,,15.1,,16.3,11.8,12.9,,1.7,,22.0,0.0,0.0,0.0,0.0,,18.3,0.0,2.9,15.5,12.4,0.9,3.3,16.1,0.0,0.0,0.0,0.8,1.8,12.9,2.6,4.6,1.8,0.3,6.9
142,Xherdan Shaqiri,Liverpool,3,7.742105263157896,21.014285714285716,38,14,0.0,0.0,28.8,,0.0,0.0,,0.0,,0.0,24.3,0.0,,0.0,,48.3,0.0,0.0,,19.0,,0.8,1.9,26.3,41.9,0.0,35.5,24.3,,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,15.7,0.0,0.0,0.0,0.0,0.0,0.0
143,James Justin,Leicester,2,7.6499999999999995,12.639130434782608,38,23,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,2.7,1.3,1.5,14.4,2.5,12.7,,5.8,40.3,27.3,22.8,26.9,54.2,3.6,5.7,2.7,15.5,0.6,2.3,10.9,3.5,0.8,19.7,13.0
144,Jesse Lingard,West Ham,3,7.584210526315791,18.012500000000003,38,16,3.8,47.6,33.5,,,17.3,18.1,15.8,,5.3,2.2,13.0,13.4,0.0,,24.6,,33.8,,5.8,,3.7,18.5,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
145,Jacob Murphy,Newcastle,3,7.389473684210526,10.8,38,26,11.3,29.8,10.8,,,0.8,2.6,12.0,,0.8,30.5,30.2,0.8,24.8,,0.0,,11.0,,4.2,,0.0,0.0,0.0,0.0,15.3,0.0,0.3,0.0,0.3,14.5,5.8,0.0,28.8,15.0,,0.0,11.7,2.2,1.6,15.4,0.0,0.0,0.3,0.0,0.0
146,Mason Greenwood,Man Utd,3,7.334210526315791,8.990322580645163,38,31,0.0,3.8,,1.5,2.6,3.9,,21.3,,24.8,14.4,15.0,,30.8,,0.0,7.7,7.1,,1.3,,13.4,8.1,26.4,0.2,4.8,6.4,0.0,0.8,0.0,27.4,0.0,0.0,4.6,2.8,13.7,0.6,0.0,0.0,2.7,14.9,0.0,1.9,12.1,3.7,
147,Tom Cairney,Fulham,3,7.3236842105263165,27.830000000000002,38,10,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,21.4,0.0,0.0,3.3,0.0,14.8,49.5,16.3,68.5,47.8,5.8,40.7,0.0,10.2
148,Ferran Torres,Man City,3,7.273684210526318,11.516666666666671,38,24,2.3,1.1,17.6,,,27.5,49.2,,,0.0,28.4,0.0,,13.3,0.3,0.0,0.0,4.3,,0.0,0.0,1.6,0.0,0.0,27.5,13.7,0.0,1.4,0.0,0.0,,11.1,2.0,0.0,2.4,0.0,17.6,26.9,0.9,3.3,0.0,0.0,11.8,11.9,0.3,
149,Mbaye Diagne,West Brom,4,7.266666666666666,8.174999999999999,18,16,0.0,0.0,0.0,,,0.1,11.8,6.6,,1.0,11.8,14.8,,26.0,,4.3,2.9,1.8,,22.4,,0.3,1.0,1.7,24.3,,,,,,,,,,,,,,,,,,,,,
150,Darnell Furlong,West Brom,2,7.236842105263159,7.8571428571428585,38,35,0.8,11.3,25.3,,,1.9,5.1,0.3,,0.5,0.7,14.5,,1.6,,1.8,12.8,18.5,,0.1,,14.2,0.0,0.0,0.6,0.9,4.0,0.0,,1.8,0.8,14.8,0.9,0.1,12.3,11.6,21.6,0.8,19.6,15.0,6.0,15.3,0.0,18.8,9.2,11.5
151,Ruben Loftus-Cheek,Fulham,3,7.215789473684214,8.845161290322585,38,31,12.5,0.6,0.0,,,1.5,0.0,,,0.8,2.0,12.5,0.8,0.8,,10.4,1.9,21.7,,23.8,16.3,18.1,14.9,12.8,24.8,12.1,18.9,0.0,4.7,,,6.0,0.4,3.3,12.2,1.7,1.3,13.2,0.1,0.0,6.7,16.1,0.0,0.0,0.0,1.3
152,Ryan Bertrand,Southampton,2,7.1526315789473704,9.372413793103451,38,29,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,27.2,13.7,,17.4,2.1,16.0,,2.4,1.1,1.1,,2.3,15.3,0.6,10.5,0.0,,3.8,,0.3,3.8,0.8,1.9,6.1,6.8,10.8,1.2,9.3,0.0,11.4,36.9,2.7,12.7,32.3,2.8,18.5
153,Tomas Soucek,West Ham,3,7.1342105263157904,7.1342105263157904,38,38,12.8,2.2,14.8,,,6.3,12.5,4.1,,13.5,11.9,11.2,12.3,2.7,,10.8,,12.6,,1.2,,12.8,5.1,13.7,1.0,1.1,16.1,2.0,,1.5,2.4,3.4,1.8,2.5,11.8,0.8,1.5,3.4,11.3,0.8,1.2,12.7,1.6,1.0,11.1,21.6
154,Tanguy Ndombele,Spurs,3,7.126315789473687,8.20606060606061,38,33,0.0,1.3,1.3,,,0.3,0.0,,8.3,1.1,5.3,18.7,2.5,0.8,,0.0,2.2,13.9,,3.8,,0.9,7.3,1.4,4.3,7.4,,8.2,28.8,2.3,,25.9,1.7,0.0,15.3,0.0,1.0,14.0,43.2,5.0,19.3,3.3,14.1,5.1,1.5,1.3
155,Scott McTominay,Man Utd,3,7.1184210526315805,8.453125000000002,38,32,0.0,12.9,,1.9,0.0,5.3,,2.9,,23.3,2.3,0.0,,18.3,,11.2,0.6,12.3,,0.0,,7.7,5.3,18.9,1.8,0.0,0.0,0.7,0.0,1.3,0.0,1.3,32.1,0.0,1.2,4.5,0.0,0.3,15.9,13.9,3.0,33.8,0.8,0.0,37.0,
156,Ola Aina,Fulham,2,7.1085714285714285,8.025806451612903,35,31,0.0,0.0,11.1,,,0.0,1.7,,,0.3,0.5,1.3,0.1,15.8,,1.5,26.6,2.3,,29.3,1.3,23.3,0.0,3.1,3.1,0.8,0.5,1.1,0.7,,,1.1,19.3,2.1,10.3,1.1,15.0,13.7,16.6,1.3,23.4,2.3,18.2,,,
157,Seamus Coleman,Everton,2,7.057894736842105,10.728,38,25,0.0,2.2,13.3,,19.4,0.7,11.6,21.8,,11.3,40.8,40.5,,10.6,,0.0,0.0,0.0,,0.8,14.5,10.6,0.0,0.0,5.6,0.3,,,0.0,17.4,,0.7,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.3,2.0,11.3,4.6,12.1
158,Serge Aurier,Spurs,2,7.042105263157896,14.084210526315792,38,19,0.0,0.0,0.0,,,0.8,46.7,,6.8,11.8,12.7,0.0,0.0,0.0,,0.0,0.0,22.0,,0.0,,0.0,22.5,17.2,0.0,2.3,,2.6,54.9,0.0,,0.0,9.3,0.3,17.4,0.8,4.4,5.1,0.0,0.0,0.0,16.2,13.8,0.0,0.0,0.0
159,Anthony Martial,Man Utd,4,6.98421052631579,12.063636363636364,38,22,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,11.8,0.0,0.3,,14.6,,5.8,0.0,3.8,22.3,9.3,6.9,11.1,16.1,13.0,3.9,15.6,51.3,34.5,10.4,4.3,0.0,15.9,3.4,0.0,0.0,0.0,1.3,3.8,6.0,
160,Alex Iwobi,Everton,3,6.923684210526316,8.770000000000001,38,30,1.0,0.0,0.0,,4.8,0.0,12.1,0.0,,1.4,0.2,0.0,,29.0,,11.7,1.1,1.5,,0.0,12.3,0.0,0.0,12.9,1.6,0.2,,,6.0,0.0,,10.9,15.8,36.1,5.1,31.6,11.3,3.5,16.5,13.8,1.2,1.6,13.6,0.3,6.0,0.0
161,Jordan Henderson,Liverpool,3,6.902631578947369,12.49047619047619,38,21,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,1.4,,26.1,2.3,13.4,11.8,1.5,0.0,12.1,,1.7,18.2,29.4,7.7,9.2,7.2,35.9,1.9,0.0,1.8,9.3,26.3,24.3,0.0,0.0,18.8,2.0
162,Kyle Walker-Peters,Southampton,2,6.8999999999999995,8.74,38,30,12.9,4.2,18.1,,3.2,2.5,20.8,,,1.0,13.1,12.8,,4.6,0.0,15.2,,0.0,0.0,0.0,,1.2,0.0,0.0,0.0,0.0,,16.3,,21.1,5.4,1.3,18.5,16.1,2.3,2.5,12.2,1.8,2.4,1.0,2.8,3.6,3.4,10.8,12.5,18.6
163,Rayan Ait Nouri,Wolves,2,6.897058823529411,11.166666666666666,34,21,1.9,4.8,0.0,,,38.8,42.0,20.1,,5.6,19.8,2.3,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,1.2,24.3,3.3,2.3,0.9,15.0,0.0,0.0,0.8,0.0,41.3,5.7,4.4,0.0,0.0,,,,
164,Leander Dendoncker,Wolves,3,6.878947368421055,7.921212121212124,38,33,1.8,0.3,1.3,,,1.3,1.9,1.8,,3.8,0.9,2.3,,0.3,,10.7,0.5,0.7,,10.9,,0.7,0.7,2.3,12.8,0.9,,49.1,7.4,0.0,0.0,0.0,0.0,10.7,2.8,1.8,4.1,23.4,11.8,12.7,5.5,21.5,39.3,0.0,0.0,15.4
165,Lucas Rodrigues Moura da Silva,Spurs,3,6.8,8.613333333333333,38,30,2.1,0.0,0.0,,,11.2,0.0,,12.5,27.7,11.1,2.9,55.2,28.6,,5.8,0.3,4.4,,12.6,,0.4,23.9,2.3,1.8,0.0,,3.0,0.0,1.7,,0.0,7.5,0.5,0.0,0.0,0.3,1.1,0.8,0.0,11.7,0.0,3.2,19.9,0.1,5.8
166,Bobby Decordova-Reid,Fulham,4,6.6868421052631595,7.700000000000002,38,33,8.5,16.3,15.8,,,13.8,3.3,,,0.8,4.0,0.6,0.0,0.0,,12.7,0.0,16.5,,0.1,1.1,24.3,13.8,2.0,12.3,12.5,0.0,13.6,16.3,,,1.0,2.5,1.9,5.7,1.8,3.2,16.8,15.5,2.3,0.4,0.0,3.9,9.9,0.5,0.4
167,Callum Robinson,West Brom,4,6.613157894736841,8.974999999999998,38,28,15.1,0.0,0.0,,,0.5,0.1,0.3,,2.4,26.3,32.3,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.7,0.8,0.5,2.8,0.7,,34.6,1.8,16.7,0.0,0.0,26.4,7.5,6.4,1.3,33.3,0.5,6.7,1.3,2.0,4.0,25.0,1.3
168,Joelinton Cassio Apolinario de Lira,Newcastle,4,6.581578947368421,8.067741935483872,38,31,0.0,1.8,1.8,,,0.0,12.0,1.7,,11.2,1.1,15.1,1.4,18.9,,3.0,,23.4,,32.1,,0.8,0.5,0.0,0.0,0.0,0.0,0.9,0.0,3.9,11.8,1.9,1.0,3.6,19.5,,13.9,23.3,0.1,0.0,0.3,10.9,16.0,6.2,0.8,11.2
169,Charlie Taylor,Burnley,2,6.539473684210527,8.56896551724138,38,29,3.1,2.3,0.9,,,14.5,6.5,35.8,,4.3,0.0,15.4,,0.0,,1.3,7.3,1.8,,2.8,15.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,,0.3,19.2,15.4,1.0,1.3,1.6,15.4,15.7,15.1,0.8,13.5,1.8,3.3,3.0,29.3,
170,Theo Walcott,Southampton,3,6.526315789473683,11.272727272727272,38,22,0.0,1.8,0.6,,0.0,22.5,0.0,,,2.1,15.8,22.7,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.8,2.6,,21.5,,1.2,38.3,1.9,30.3,0.8,4.1,2.5,2.3,3.1,17.7,0.3,0.0,53.8,0.3,0.0,0.0,0.0
171,Andre Filipe Tavares Gomes,Everton,3,6.434210526315789,8.732142857142858,38,28,0.0,0.0,1.4,,11.8,0.0,12.7,1.3,,0.0,0.0,10.9,,46.9,,2.6,15.3,4.7,,3.3,0.0,4.5,12.0,14.2,2.2,2.8,,,15.7,2.1,,0.6,0.0,1.1,14.8,14.8,1.5,0.0,0.0,12.5,0.0,12.2,0.0,2.1,17.2,3.3
172,Ashley Barnes,Burnley,4,6.410526315789474,11.072727272727272,38,22,0.0,0.0,12.9,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,1.6,33.6,12.1,0.0,0.0,0.0,10.9,22.8,21.6,,2.2,4.3,1.0,10.3,11.1,10.3,10.9,0.0,11.3,13.9,13.8,11.8,27.2,0.0,0.0,
173,Jeffrey Schlupp,Crystal Palace,3,6.371052631578949,8.966666666666669,38,27,0.1,16.6,12.8,,1.5,14.9,0.3,0.1,,,15.8,10.6,,0.5,,10.8,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.3,25.4,3.4,11.4,0.0,22.0,27.3,3.2,1.3,10.6,2.9,12.3,2.0,0.0,0.0,34.9,0.1
174,James Milner,Liverpool,3,6.368421052631581,9.30769230769231,38,26,1.0,0.8,0.0,,0.0,0.0,,6.4,,2.8,14.7,22.9,,10.4,,8.3,0.4,0.9,,0.0,,0.3,1.3,8.1,4.9,49.2,0.0,0.0,,4.6,7.3,0.0,0.0,0.0,0.0,0.0,8.3,66.3,0.8,0.0,0.1,0.0,15.1,0.6,6.5,0.0
175,Tyler Roberts,Leeds,3,6.289473684210528,8.851851851851855,38,27,28.3,10.1,0.3,,,2.8,14.3,1.6,,15.6,1.3,15.8,4.8,8.3,,12.3,,23.3,15.8,13.4,,22.3,0.0,1.6,0.0,12.1,,1.3,,0.0,0.0,0.0,0.0,0.3,0.1,0.0,0.0,0.0,1.4,0.3,0.0,0.0,11.2,5.2,15.2,0.0
176,Jordan Ayew,Crystal Palace,4,6.278947368421053,7.230303030303031,38,33,2.6,1.5,0.0,,14.8,1.2,0.3,1.4,,,8.7,13.3,,3.8,,1.3,2.4,11.8,,14.9,,30.7,15.2,3.6,24.4,34.0,,4.6,0.0,3.3,0.3,0.0,4.8,0.3,0.0,1.7,15.1,2.4,13.2,0.9,0.0,0.0,2.8,2.2,0.3,0.8
177,Christian Benteke,Crystal Palace,4,6.223684210526318,7.883333333333336,38,30,0.0,11.8,12.9,,6.8,13.7,4.4,2.4,,,7.8,13.8,,4.5,,2.3,23.0,3.1,,0.3,,5.1,0.4,2.1,0.0,16.6,,0.0,14.6,3.3,0.9,13.2,0.0,12.3,13.8,45.1,1.3,0.4,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
178,Nicolas Pepe,Arsenal,3,6.207894736842105,8.13448275862069,38,29,5.7,9.1,,,0.0,5.6,1.8,29.8,,2.9,37.8,2.1,14.6,2.3,,2.5,,7.5,,2.4,,0.0,5.6,14.0,41.1,3.1,,0.0,3.0,0.0,0.0,0.3,4.3,1.9,0.0,0.0,0.0,16.0,1.1,0.0,0.9,0.5,1.1,1.3,2.3,15.3
179,Wilfred Ndidi,Leicester,3,6.171052631578949,9.019230769230772,38,26,0.8,12.4,,,24.8,2.7,15.3,6.9,,2.8,3.9,2.1,,37.8,,4.7,34.2,21.8,,1.8,,21.1,0.0,0.0,0.0,1.5,1.8,1.8,,1.8,0.0,2.3,14.8,0.8,4.2,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2
180,Fabio Carvalho,Fulham,3,6.160000000000001,7.700000000000001,5,4,14.9,1.8,13.3,,,0.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Curtis Jones,Liverpool,3,6.142105263157895,9.725000000000001,38,24,0.0,0.0,9.0,,10.3,0.3,,1.4,,0.0,0.0,0.0,,0.0,,0.0,15.3,14.0,,19.7,,3.7,5.1,1.3,13.5,1.3,0.0,2.3,,0.0,4.0,11.3,2.3,33.3,28.9,5.8,0.0,24.6,0.0,11.4,0.0,0.0,1.3,0.0,0.0,13.3
182,Allan Marques Loureiro,Everton,3,6.139473684210526,9.720833333333333,38,24,12.6,17.6,24.7,,22.0,0.5,23.3,11.9,,12.2,0.0,0.0,,6.3,,1.3,1.0,0.9,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,10.9,0.8,12.5,22.9,2.2,2.5,24.3,1.6,0.9,0.0,11.0,6.0,3.4
183,Josh Maja,Fulham,4,6.070588235294117,6.879999999999999,17,15,11.8,0.0,0.3,,,2.4,13.8,,,0.8,10.5,12.4,0.8,0.0,,2.2,14.6,4.3,,12.4,11.3,4.8,0.8,,,,,,,,,,,,,,,,,,,,,,,
184,Callum Wilson,Newcastle,4,6.063157894736841,8.86153846153846,38,26,0.0,0.0,0.0,,,10.9,1.2,0.5,,0.6,0.1,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.2,17.1,3.6,11.3,2.2,12.2,2.2,1.8,12.9,0.0,1.3,34.7,14.2,,15.3,0.0,0.8,14.1,13.2,12.1,21.4,2.4,0.8,23.3
185,Oriol Romeu Vidal,Southampton,3,6.028947368421053,10.90952380952381,38,21,2.5,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,11.1,1.8,,2.4,15.3,0.0,4.3,0.0,,0.0,,0.0,15.3,0.0,11.7,23.0,23.4,13.0,2.1,12.5,38.1,1.6,14.8,5.2,12.8,2.8,11.2,4.2
186,Jamal Lewis,Newcastle,2,5.91578947368421,9.366666666666665,38,24,0.0,0.0,0.3,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,2.2,,1.3,,11.6,0.5,28.6,16.7,11.7,1.1,1.0,0.0,0.0,0.0,0.8,0.0,0.7,1.0,,26.0,5.0,29.7,15.8,5.7,22.3,1.6,0.2,1.2,39.8
187,Giovani Lo Celso,Spurs,3,5.863157894736842,12.377777777777778,38,18,0.0,0.0,13.2,,,29.3,3.8,,16.0,0.0,13.8,6.6,13.4,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.7,24.1,11.1,2.3,2.2,0.7,1.9,25.6,11.8,0.0,0.0,34.5,11.8,0.0
188,Fernando Luiz Rosa,Man City,2,5.810526315789474,10.514285714285714,38,21,47.6,10.5,0.0,,,0.0,4.6,,,0.3,61.3,3.0,,1.6,12.7,0.0,0.0,19.0,,13.1,0.0,0.0,0.0,0.0,17.3,0.0,0.0,8.1,0.0,0.5,,3.5,0.0,0.0,3.2,0.0,1.3,0.0,0.0,0.0,0.0,0.1,0.3,8.0,4.8,
189,Edinson Cavani,Man Utd,4,5.808571428571428,7.819230769230769,35,26,0.0,11.5,,26.7,0.6,1.1,,11.1,,0.9,27.6,1.8,,0.0,,0.0,12.8,0.0,,0.0,,3.3,27.6,2.5,15.1,0.3,2.4,0.2,21.8,0.0,3.0,13.5,0.4,0.0,0.0,1.4,15.3,0.6,1.3,0.5,0.0,0.0,,,,
190,Thomas Partey,Arsenal,3,5.755882352941178,8.154166666666669,34,24,3.8,5.8,,,1.2,0.5,1.3,27.8,,1.3,15.8,1.8,5.4,23.6,,2.1,,12.1,,0.0,,0.0,3.3,17.3,11.3,2.5,,23.5,11.9,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,2.0,4.1,13.8,0.3,,,,
191,Alex Nicolao Telles,Man Utd,2,5.734285714285714,22.299999999999997,35,9,15.8,0.0,,0.0,17.1,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,7.1,0.0,28.3,27.3,0.0,31.3,34.3,5.5,0.0,0.0,0.0,0.0,,,,
192,Alexis Mac Allister,Brighton,3,5.542105263157896,10.02857142857143,38,21,3.3,37.0,0.0,,,0.8,0.0,0.0,,4.8,0.0,0.8,0.5,0.0,,13.1,,12.3,,5.7,,15.7,14.2,0.0,25.3,23.5,,25.3,12.8,0.0,12.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,1.3,0.9,0.5,0.0,0.0,0.0,0.0
193,Oliver McBurnie,Sheffield Utd,4,5.46842105263158,9.034782608695654,38,23,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.4,2.3,,0.0,,3.9,0.0,13.2,,1.2,,1.1,33.8,21.8,0.5,0.0,,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.2,4.4,37.5,14.9,0.5,2.1,26.8,13.6,0.8,1.3,10.3,15.3
194,Marcos Alonso,Chelsea,2,5.371052631578948,15.700000000000001,38,13,0.0,0.0,,,0.0,23.3,10.0,0.0,,2.2,0.0,3.8,,0.0,,52.2,0.0,0.0,,23.1,,23.7,1.8,13.9,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,11.8,3.7
195,Chris Basham,Sheffield Utd,2,5.323684210526316,6.525806451612903,38,31,1.8,15.6,1.6,,,1.7,15.1,0.0,,0.0,0.0,0.0,,0.9,,0.0,0.0,0.0,,0.1,,3.6,1.2,24.3,1.0,0.3,,12.7,3.6,14.4,5.4,2.1,1.0,2.8,2.0,14.8,16.2,18.0,1.3,3.8,2.8,29.6,0.8,1.5,0.8,1.5
196,James McArthur,Crystal Palace,3,5.321052631578948,11.233333333333334,38,18,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,21.2,,11.8,1.3,23.3,0.1,16.3,1.8,3.8,12.3,13.3,24.2,25.9,1.3,0.0,0.0,1.3,20.4,12.7,0.8,10.4
197,Ahmed El Mohamady,Aston Villa,2,5.310526315789473,14.414285714285713,38,14,0.0,0.0,20.0,,4.6,0.0,0.0,43.2,,0.0,0.0,0.0,0.0,12.3,,5.2,26.8,0.7,,15.7,,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0.0,55.7,0.0,,0.9,0.0,0.0,4.8,0.0,0.0,11.1,0.0,0.0,
198,Kyle Walker,Man City,2,5.286842105263159,8.370833333333335,38,24,3.4,0.0,9.3,,,0.0,0.0,,,7.3,0.0,11.3,,0.0,16.2,2.8,3.3,11.5,,0.0,16.8,0.0,0.0,0.0,7.0,0.0,0.5,6.4,0.0,0.0,,0.0,2.7,2.7,12.7,0.0,14.2,5.5,2.0,2.8,29.8,3.3,12.3,10.8,6.3,
199,Arthur Masuaku,West Ham,2,5.276315789473684,16.708333333333332,38,12,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,6.3,22.1,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.2,11.5,17.1,9.6,14.8,2.4,20.1,2.8,55.8,16.8,0.0
200,Okay Yokuslu,West Brom,3,5.211764705882354,5.537500000000001,17,16,1.0,2.0,0.5,,,0.9,1.7,0.7,,0.2,12.7,11.2,,15.6,,14.4,13.9,1.0,,11.3,,1.3,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,
201,Patrick van Aanholt,Crystal Palace,2,5.139473684210526,8.877272727272727,38,22,0.1,0.0,0.0,,0.0,0.0,0.0,1.7,,,1.4,3.8,,4.8,,2.4,1.8,5.6,,0.0,,2.7,0.9,6.2,25.2,0.0,,0.0,0.0,0.0,0.0,13.5,2.1,12.8,2.6,37.3,37.2,2.1,11.8,18.6,0.7,0.0,0.0,0.0,0.0,0.0
202,Matej Vydra,Burnley,4,5.105263157894737,6.928571428571429,38,28,0.8,0.4,13.5,,,10.6,1.5,14.1,,0.0,3.6,12.0,,23.9,,23.0,14.3,2.4,,6.2,0.0,0.0,32.2,4.8,0.8,0.6,0.0,0.6,0.2,,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.3,0.0,0.0,0.0,0.0,16.5,10.6,
203,Oliver Burke,Sheffield Utd,3,5.0473684210526315,7.672000000000001,38,25,0.0,0.0,0.0,,,2.3,22.1,0.8,,4.0,0.7,2.6,,0.3,,0.0,0.3,3.6,,0.0,,0.0,0.4,0.0,2.6,0.0,,12.5,33.5,0.0,10.6,2.0,10.7,22.6,0.0,1.3,22.3,0.0,0.0,0.0,0.6,0.0,0.3,32.4,3.3,0.0
204,Steven Bergwijn,Spurs,3,5.023684210526315,9.09047619047619,38,21,4.0,23.7,0.0,,,0.0,11.6,,0.6,0.0,0.0,0.0,3.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,3.1,15.8,23.6,,17.0,0.0,33.6,,0.8,0.0,0.7,3.1,10.5,3.5,1.7,0.0,0.0,0.0,1.4,0.0,18.5,11.4,3.3
205,Ethan Ampadu,Sheffield Utd,2,4.989473684210526,7.584,38,25,0.0,0.0,0.0,,,0.0,0.0,0.0,,4.1,0.9,0.6,,0.0,,0.6,0.8,25.5,,1.3,,14.3,0.0,7.9,0.4,0.7,,11.7,28.1,12.3,22.9,2.9,1.3,30.2,1.3,0.0,0.0,1.8,0.0,5.1,14.2,0.0,0.0,0.4,0.3,0.0
206,Diogo Jota,Liverpool,3,4.955263157894737,9.910526315789474,38,19,0.0,0.0,0.0,,3.2,5.4,,14.8,,27.3,14.9,1.1,,12.4,,13.3,0.6,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.1,4.3,38.2,4.9,0.8,4.0,11.5,18.6,1.9,0.0,0.0
207,Dan Burn,Brighton,2,4.818421052631578,6.78148148148148,38,27,2.1,2.6,3.0,,,2.7,25.5,0.0,,11.3,0.1,0.0,0.0,11.7,,2.1,,1.3,,52.8,,11.3,1.8,2.2,0.3,0.0,,1.2,1.5,1.8,2.6,3.5,0.0,0.0,15.1,0.0,0.0,0.0,17.8,2.5,1.8,2.7,0.0,0.0,1.8,0.0
