,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW6,GW5,GW4,GW3,GW2,GW1
152,John Egan,Sheffield Utd,Defender,6.2,7.75,5,4,6.171220662076546,0.0,19.0,0.0,4.0,8.0
153,Joao Palhinha Goncalves,Fulham,Midfielder,6.0,10.0,5,3,10.48790485701619,8.0,0.0,22.0,0.0,0.0
154,Ryan Gravenberch,Liverpool,Midfielder,6.0,6.0,1,1,5.8350385302748045,6.0,,,,
155,Ethan Pinnock,Brentford,Defender,6.0,6.0,5,5,7.206751956958744,4.0,6.0,10.0,10.0,0.0
156,James Garner,Everton,Midfielder,6.0,6.0,4,4,4.650532779494253,3.860377778830528,0.0,20.0,4.0,0.0
157,Mykhailo Mudryk,Chelsea,Midfielder,6.0,8.0,4,3,6.369974136222605,8.517560801982013,4.0,0.0,16.0,4.0
158,Julio Enciso,Brighton,Midfielder,6.0,15.0,5,2,14.982845890649068,0.0,0.0,0.0,30.0,0.0
159,Yasser Larouci,Sheffield Utd,Defender,5.8,7.25,5,4,6.608881931519784,0.0,21.0,6.0,2.0,0.0
160,Benie Traore,Sheffield Utd,Forward,5.8,7.25,5,4,6.345517941241352,0.0,2.0,6.0,19.0,2.0
161,Mads Juel Andersen,Luton,Defender,5.75,5.75,4,4,4.726645888406031,0.0,23.0,0.0,,0.0
162,Luke Harris,Fulham,Midfielder,5.666666666666667,17.0,3,1,27.547588029924274,0.0,17.0,0.0,,
163,Aaron Hickey,Brentford,Defender,5.6,5.6,5,5,7.950288337798794,21.0,1.0,2.0,0.0,4.0
164,Nathan Collins,Brentford,Defender,5.4,5.4,5,5,6.377191644427737,0.0,2.0,8.0,13.0,4.0
165,Ivan Perisic,Spurs,Defender,5.4,5.4,5,5,3.010386956509925,9.0,2.0,8.0,8.0,0.0
166,Fabian Schar,Newcastle,Defender,5.4,5.4,5,5,9.368037661009573,2.0,19.0,2.0,4.0,0.0
167,Chris Wood,Nott'm Forest,Forward,5.25,5.25,4,4,2.488217015520113,3.90824128686624,0.0,4.0,17.0,0.0
168,Reece Burke,Luton,Defender,5.25,7.0,4,3,6.573968601505961,6.0,13.0,2.0,,0.0
169,Adama Traore,Fulham,Midfielder,5.25,7.0,4,3,8.549133820803743,0.0,0.0,21.0,0.0,
170,Virgil van Dijk,Liverpool,Defender,5.2,8.666666666666666,5,3,8.71021903369551,0.0,0.0,0.0,23.0,3.0
171,Pedro Porro,Spurs,Defender,5.2,6.5,5,4,3.5496194920370447,3.0,11.0,9.0,3.0,0.0
172,Aleksandar Mitrovic,Fulham,Forward,5.2,26.0,5,1,21.97903776985193,0.0,0.0,0.0,0.0,26.0
173,Cameron Archer,Sheffield Utd,Forward,5.2,8.666666666666666,5,3,6.678525556643713,2.0,24.0,0.0,0.0,0.0
174,Sean Longstaff,Newcastle,Midfielder,5.2,5.2,5,5,7.7778480572132915,0.0,0.0,26.0,0.0,0.0
175,Timothy Castagne,Fulham,Defender,5.0,5.0,2,2,2.8718801731837185,10.0,0.0,,,
176,Kyle Walker,Man City,Defender,5.0,5.0,5,5,3.8905072351989958,4.0,4.0,11.0,4.0,2.0
177,Max Kilman,Wolves,Defender,5.0,5.0,5,5,5.446354349183941,4.0,0.0,0.0,0.0,21.0
178,Emerson Palmieri dos Santos,West Ham,Defender,5.0,5.0,5,5,6.557420859498317,7.0,2.0,8.0,4.0,4.0
179,Lucas Digne,Aston Villa,Defender,5.0,5.0,5,5,4.079400979515244,8.0,0.0,10.0,5.0,2.0
180,Frank Onyeka,Brentford,Midfielder,5.0,8.333333333333334,5,3,9.961649512982493,0.0,13.0,12.0,0.0,0.0
181,Andrew Robertson,Liverpool,Defender,5.0,5.0,5,5,5.440532877580491,21.0,2.0,0.0,0.0,2.0
182,Pelly Ruddock Mpanzu,Luton,Midfielder,5.0,5.0,4,4,6.0162485597706885,0.0,6.0,2.0,,12.0
183,Joao Victor Gomes da Silva,Wolves,Midfielder,4.8,4.8,5,5,5.930538002119498,3.0,4.0,2.0,2.0,13.0
184,Tomas Soucek,West Ham,Midfielder,4.8,6.0,5,4,5.921131198578748,2.0,0.0,0.0,6.0,16.0
185,Oliver Norwood,Sheffield Utd,Midfielder,4.8,4.8,5,5,3.8841135217078966,13.0,1.0,0.0,2.0,8.0
186,Issa Kabore,Luton,Defender,4.75,4.75,4,4,6.342134359201906,5.0,2.0,7.0,,5.0
