,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
61,Douglas Luiz Soares de Paulo,Aston Villa,Midfielder,14.303703703703706,16.791304347826088,27,23,17.95346197505509,,20.437936885618836,5.8,1.4,,5.8,,1.8,,13.3,18.7,,10.8,,26.3,,34.0,,12.3,,8.9,1.7,1.9,66.6,0.8,0.0,0.0,0.0,5.8,11.9,38.0,42.8,63.4,1.7,11.5,1.0,0.0
62,Moussa Sissoko,Watford,Midfielder,14.210714285714287,15.303846153846155,28,26,,,15.53971174872554,38.8,32.8,,17.9,17.1,1.7,,22.9,26.9,15.1,23.3,,2.8,,0.1,11.3,,,,14.8,1.3,25.8,13.4,2.7,14.8,12.1,5.5,20.9,10.3,14.7,12.8,17.2,20.9,0.0,0.0
63,Oriol Romeu Vidal,Southampton,Midfielder,13.946428571428575,15.019230769230774,28,26,,,16.825724070705604,9.0,24.3,,15.0,,37.6,,22.8,7.3,,1.2,,46.0,,28.6,0.0,13.3,,1.9,0.0,13.2,22.6,2.3,5.6,2.3,26.3,28.4,2.9,11.5,29.0,11.3,0.8,19.0,2.0,6.3
64,James Maddison,Leicester,Midfielder,13.86,14.4375,25,24,16.53295429707331,,15.34153180464858,,0.0,,0.3,,2.3,,11.9,18.4,,15.3,,18.8,,,11.0,31.6,,,21.6,4.2,26.0,70.8,15.8,1.1,20.1,11.7,10.6,0.2,11.6,2.4,11.8,1.8,12.0,15.2
65,Daniel Castelo Podence,Wolves,Midfielder,13.828571428571426,17.599999999999998,28,22,21.43993787445167,,19.735467124892757,9.9,26.9,,22.2,40.8,11.2,,6.0,71.2,,20.5,,14.5,,49.5,,,20.6,6.0,14.1,0.0,0.0,0.0,33.3,1.2,0.3,0.5,11.8,0.0,13.3,2.3,11.0,0.1,0.0,0.0
66,Raul Jimenez,Wolves,Forward,13.614285714285714,14.661538461538461,28,26,16.14842276921808,,14.864626406429071,11.5,0.9,,0.6,0.7,11.9,,11.2,12.5,,0.0,,4.3,,23.8,,,12.3,0.0,0.8,13.3,13.2,4.3,3.9,3.1,4.7,12.9,0.1,40.0,11.8,36.1,27.3,35.3,47.8,36.9
67,Gabriel Fernando de Jesus,Man City,Forward,13.607142857142856,19.049999999999997,28,20,,,18.24624496344851,,0.0,,1.3,,0.0,,0.0,0.0,,2.1,,0.1,,11.1,7.4,0.0,35.7,0.0,16.4,12.7,15.9,25.9,0.0,39.3,16.5,23.9,0.0,34.8,6.1,1.7,13.3,60.7,42.5,13.6
68,Ryan Fraser,Newcastle,Midfielder,13.562962962962965,16.645454545454548,27,22,,19.073812838906612,13.170358134877963,11.8,15.3,,103.1,,11.5,,37.8,2.1,,5.7,,49.0,,,,1.8,39.5,0.3,9.3,0.0,4.0,19.9,36.0,0.0,0.7,14.2,1.6,0.0,0.0,0.7,0.0,0.3,0.3,1.3
69,Diogo Jota,Liverpool,Midfielder,13.514285714285718,15.136000000000003,28,25,,13.378519979378424,0.8,,0.5,,,0.0,0.0,,11.8,22.2,,22.8,,6.0,,7.5,16.3,,2.8,12.8,0.7,15.3,40.8,12.5,1.5,24.6,10.8,26.3,0.0,4.1,29.2,11.7,64.4,6.3,24.8,1.9
70,Alexandre Lacazette,Arsenal,Forward,13.507999999999997,16.884999999999998,25,20,16.376547145415397,11.798642397255751,20.945643882893105,,23.7,,,27.2,31.3,,,23.0,,35.5,,,,11.1,,20.2,22.8,32.0,12.0,1.7,0.0,0.3,24.3,11.5,3.2,28.4,26.8,2.4,0.0,0.0,0.0,0.3,0.0,0.0
