,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
98,Luke Shaw,Man Utd,10.951145199698535,10.951145199698535,5,5,5.625093862815885,18.04808108108108,18.817385767790263,5.500650741350906,6.764514545454546,
99,Bukayo Saka,Arsenal,10.874840184852614,16.31226027727892,6,4,15.140700332963377,21.87431210691824,5.584214634146341,0.0,22.64981403508772,0.0
100,Dennis Praet,Leicester,10.840277515914716,13.008333019097659,6,5,5.232233418367347,2.7073452012383896,0.0,14.749536163522013,28.560212962962964,13.792337349397592
101,Jarrod Bowen,West Ham,10.835549031862469,10.835549031862469,6,6,1.1249646226415095,29.41705243445693,23.081627081021093,1.1316370106761566,8.395909438775512,1.8621036036036036
102,Gylfi Sigurdsson,Everton,10.71106305599851,10.71106305599851,6,6,3.438877169559413,0.1209087452471483,42.433591433278416,0.3468981818181818,17.568810671256454,0.3572921348314607
103,Hector Bellerin,Arsenal,10.473166983952758,10.473166983952758,6,6,4.3410399556048835,2.499921383647799,24.198263414634145,1.8136311787072243,7.698705263157896,22.2874407079646
104,Georginio Wijnaldum,Liverpool,10.373592254880824,10.373592254880824,6,6,14.705098536585366,0.3793121272365806,3.7738751289989674,19.22541581632653,6.084285198555957,18.07356672158155
105,Theo Walcott,Southampton,10.372119834383062,31.116359503149184,6,2,0.0,61.761234657039715,0.4714843492586491,0.0,0.0,0.0
106,Ben Osborn,Sheffield Utd,10.298272195018859,15.447408292528289,6,4,6.408163498098859,0.0,19.22541581632653,32.21809719934102,3.937956656346749,0.0
107,Conor Townsend,West Brom,10.237713277055136,15.356569915582703,6,4,29.703514003294888,27.186182098765432,2.92941388518024,1.6071696750902527,0.0,0.0
108,Kieran Tierney,Arsenal,9.736821990695002,11.684186388834004,6,5,33.14013429522753,2.499921383647799,19.823961951219513,0.846361216730038,0.0,2.1105530973451327
109,John Fleck,Sheffield Utd,9.33280668773097,18.66561337546194,6,3,0.0,0.0,14.601581632653062,0.0,0.6563261093911249,40.73893238434164
110,Thiago Alcantara do Nascimento,Liverpool,9.169585393056822,22.923963482642055,5,2,0.0,25.413912524850893,0.0,0.0,20.434014440433216,
111,Ashley Barnes,Burnley,9.120676342748984,15.201127237914974,5,3,16.435438202247195,9.687475043029261,19.480468468468466,0.0,0.0,
112,Kenny Tete,Fulham,9.035823740655543,27.10747122196663,6,2,0.0,0.0,0.0,27.81181888544891,26.40312355848435,0.0
113,Sergio Aguero,Man City,8.92330262799857,22.308256569996423,5,2,1.78520701754386,42.831306122448986,0.0,0.0,0.0,
114,Alexandre Lacazette,Arsenal,8.920519613413253,10.704623536095905,6,5,22.658110987791343,0.0,0.0,13.783596958174906,6.359800000000001,10.721609734513274
115,Harvey Barnes,Leicester,8.897187151261123,8.897187151261123,6,6,1.4601581632653062,2.379182146542828,5.46719649122807,2.7499135220125788,26.302876543209877,15.023796041308092
116,Richarlison de Andrade,Everton,8.85607293614983,10.627287523379797,6,5,0.0,14.025414448669203,1.100130148270181,2.7751854545454546,18.800269363166954,16.435438202247195
117,Stuart Dallas,Leeds,8.85319199915048,8.85319199915048,6,6,10.911421568627452,4.300220640569395,15.249520440251572,17.962557073170732,3.1236185840707966,1.5718136882129277
118,Ruben Diogo da Silva Neves,Wolves,8.77554241521548,8.77554241521548,6,6,18.477797297297297,0.0,2.2793973451327436,7.810280701754387,14.499544025157233,9.586235121951221
119,Luka Milivojevic,Crystal Palace,8.764322527389318,10.51718703286718,6,5,10.046232743362832,0.0,6.313880866425993,0.0,0.18129418472063855,36.04452736982644
120,James McArthur,Crystal Palace,8.579373190338938,10.295247828406726,6,5,0.0,2.0430988467874793,23.418758122743682,12.043160039761432,0.7251767388825542,13.246045393858479
