Name,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Reece James,,12.673280775298341,,12.632396885792003,14.628203661897116,16.23240160859947,,18.84725071243025,14.735974527450288,10.9714186066536,11.785900650971476,13.956740903682599,7.2379354201638835,11.316250976004135,11.796710602617699,14.665388892662161
Craig Dawson,,13.45901143496668,,6.618845634473959,14.843978881711822,11.551897071026046,10.348326425029185,11.202151381488195,10.787690403504719,14.760494156689644,8.624781818300304,15.144596727930809,13.376994450380359,10.032988957919068,17.23516940373317,11.589283996699004
Joseph Willock,,11.82821632687856,,11.470104784695335,17.647431489765466,13.731787712853707,10.272976210729869,13.78094851606726,15.506852699596646,11.035608187990304,8.77885199689342,10.595856492125689,11.045729976255082,6.777167206166951,13.851767948920202,13.068252376762008
Miguel Almiron,,11.820594274965933,,11.462713498325847,17.63605956053943,13.722939007697486,10.266356348883292,13.77206813190012,15.496860150169796,11.028496889365748,8.773194942287349,10.589028567609445,11.038612155193544,6.77280002866204,13.84284192901402,13.059831250932863
Alexis Mac Allister,,13.467011843266684,,17.22425266713809,10.780857492736878,11.581943357465708,14.751144876566704,11.544580112628726,13.368521477389619,8.619318891357443,13.519607721788496,14.834576722459502,11.195055951610758,10.77097842117811,6.614653265216515,10.341771806902978
Jay Rodriguez,12.157432365382718,16.417455722010505,,12.820455611404528,9.857355439919768,12.742329880153688,,11.039436422620758,14.06019015977632,11.003823300263809,10.670671113740596,10.266457693679662,12.157432365382718,14.139713995278568,8.16699098861308,12.886339131269464
Takumi Minamino,,8.761886674211834,15.07994793328975,13.589643411859846,13.743228697210247,10.19247954381641,,15.385344586365374,17.509150295944924,13.689762856933609,,10.95917818946267,8.71006294194181,12.965852571960113,15.07994793328975,10.949135713191007
Jonjo Shelvey,,11.320665843978151,,10.977920920154306,16.890177637869943,13.142554704922743,9.832161307409926,13.18960601092038,14.84145139491635,10.562068635607742,8.402150180896934,10.141186748970844,10.57175609646595,6.486357975668662,13.257386571609514,12.507491766608343
Gabriel Magalhaes,,6.3382417871319126,,10.33034971325022,14.502546385169053,12.888420942509546,10.320883465865629,8.210286817052983,12.954653731961905,12.221882798436365,12.809881041797556,14.134727719795531,16.504489899879804,8.25913694692038,12.904255716871546,9.607643594481518
Robbie Brady,11.55137059932399,15.599026969126434,,12.181341385965796,9.365955112363983,12.107110310858909,,10.489108019919753,13.359273763677798,10.455270252027615,10.138726079142668,9.754663155655692,11.55137059932399,13.434833245956458,7.759857242507412,12.243940537782985
